exit_time,type,position_size,trade_value,entry_price,exit_price,pnl_money,exit_reason
2015-05-04 11:05:00,sl_exit,5.995491390474363,50000.0,8339.6,8322.0,-105.52064847235143,trailing_stop_long
2015-05-04 13:07:00,sl_exit,-6.025580234010981,49947.23967576383,8289.2,8304.2,-90.22044208189584,trailing_stop_short
2015-05-04 13:19:00,reversal_exit,-5.997707922252215,49902.12945472288,8320.2,8320.8,-3.5983652620845197,reversal_signal
2015-05-04 13:33:00,reversal_exit,6.003986220051478,49900.330272091844,8311.2,8307.0,-25.216742124220175,reversal_signal
2015-05-04 13:38:00,sl_exit,-6.0112931559259835,49887.721901029734,8299.0,8304.2,-31.239150536520985,trailing_stop_short
2015-05-04 14:10:00,reversal_exit,-5.999001891616123,49872.10232576147,8313.4,8315.2,-10.795865906584089,reversal_signal
2015-05-04 14:47:00,sl_exit,5.998063989127497,49866.704392808184,8313.8,8306.8,-41.9864479238898,trailing_stop_long
2015-05-04 14:49:00,sl_exit,6.003192885736371,49845.71116884624,8303.2,8296.6,-39.62107304586224,trailing_stop_long
2015-05-04 14:55:00,sl_exit,-6.005001642963255,49825.90063232331,8297.4,8307.2,-58.77959194395639,trailing_stop_short
2015-05-04 15:01:00,sl_exit,-5.985589205513779,49796.510836351335,8319.4,8328.0,-51.42290984541701,trailing_stop_short
2015-05-04 15:07:00,sl_exit,5.969010023917466,49770.799381428624,8338.2,8350.0,70.43431828222437,trailing_stop_long
2015-05-04 15:12:00,sl_exit,5.958227646254394,49806.01654056973,8359.2,8350.0,-54.8156943455423,trailing_stop_long
2015-05-05 09:20:00,reversal_exit,5.975679898849602,49778.608693396964,8330.2,8323.2,-41.82975929194774,reversal_signal
2015-05-05 09:37:00,reversal_exit,-5.966436497404071,49757.69381375099,8339.6,8329.0,63.324715383097214,reversal_signal
2015-05-05 09:47:00,sl_exit,-6.010013540080458,49789.356171442545,8284.4,8281.6,16.833727453636342,trailing_stop_short
2015-05-05 10:09:00,sl_exit,-6.028640109824139,49797.77303516936,8260.2,8268.6,-50.58913159366618,trailing_stop_short
2015-05-05 10:56:00,reversal_exit,6.01858309383208,49772.47846937253,8269.8,8267.8,-12.037166187662423,reversal_signal
2015-05-05 11:04:00,sl_exit,-6.023974131052691,49766.4598862787,8261.4,8248.4,78.43508783783919,trailing_stop_short
2015-05-05 11:07:00,sl_exit,-6.040566321034981,49805.677430197626,8245.2,8236.4,53.213778032365695,trailing_stop_short
2015-05-05 11:18:00,sl_exit,-6.056280148661166,49832.28431921381,8228.2,8206.0,134.8131503639475,trailing_stop_short
2015-05-05 13:05:00,sl_exit,-6.08592190633181,49899.69089439578,8199.2,8183.4,96.3432211710954,trailing_stop_short
2015-05-05 13:32:00,sl_exit,-6.088232874814886,49947.86250498133,8204.0,8192.6,69.50243299523864,trailing_stop_short
2015-05-05 13:34:00,sl_exit,-6.112436252198668,49982.61372147895,8177.2,8161.2,97.99071454487463,trailing_stop_short
2015-05-05 13:38:00,sl_exit,-6.120373972885693,50031.60907875139,8174.6,8197.2,-137.9390969086765,trailing_stop_short
2015-05-05 14:13:00,sl_exit,6.114629730791464,49962.63953029705,8171.0,8149.4,-132.07600218509995,trailing_stop_long
2015-05-05 14:24:00,sl_exit,-6.117478486734895,49896.6015292045,8156.4,8137.8,114.04517049364237,trailing_stop_short
2015-05-05 14:27:00,sl_exit,-6.135301414204289,49953.62411445132,8142.0,8122.8,118.07622777828345,trailing_stop_short
2015-05-05 14:34:00,sl_exit,-6.169680272919551,50012.66222834046,8106.2,8113.6,-45.613993848570544,trailing_stop_short
2015-05-06 09:17:00,sl_exit,6.0888983229495945,49989.85523141617,8210.0,8205.2,-29.226711950152787,trailing_stop_long
2015-05-06 09:20:00,sl_exit,6.0774950596426,49975.2418754411,8223.0,8208.2,-89.94692688270847,trailing_stop_long
2015-05-06 09:36:00,reversal_exit,6.064945267837589,49930.26841199974,8232.6,8228.2,-26.68575917848079,reversal_signal
2015-05-06 09:44:00,sl_exit,6.053911942708723,49916.9255324105,8245.4,8232.4,-78.70085525521603,trailing_stop_long
2015-05-06 09:52:00,reversal_exit,6.076702619978423,49877.575104782896,8208.0,8198.8,-55.90566410380751,reversal_signal
2015-05-06 10:20:00,reversal_exit,-6.067974276065219,49849.622272730994,8215.2,8216.2,-6.067235738266588,reversal_signal
2015-05-06 10:46:00,sl_exit,6.0390827059440095,49846.58865486186,8254.0,8242.4,-70.05335938895212,trailing_stop_long
2015-05-06 10:58:00,sl_exit,6.031039564990238,49811.56197516738,8259.2,8256.2,-18.093118694971785,trailing_stop_long
