exit_time,type,position_size,trade_value,entry_price,exit_price,pnl_money,exit_reason
2015-05-04 11:05:00,sl_exit,5.995491390474363,50000.0,8339.6,8322.0,-105.52064847235143,trailing_stop_long
2015-05-04 13:07:00,sl_exit,-6.025580234010981,49947.23967576383,8289.2,8304.2,-90.22044208189584,trailing_stop_short
2015-05-04 13:19:00,reversal_exit,-5.997707922252215,49902.12945472288,8320.2,8320.8,-3.5983652620845197,reversal_signal
2015-05-04 13:33:00,reversal_exit,6.003986220051478,49900.330272091844,8311.2,8307.0,-25.216742124220175,reversal_signal
2015-05-04 13:45:00,sl_exit,-6.0112931559259835,49887.721901029734,8299.0,8297.0,12.025484368093153,trailing_stop_short
2015-05-04 14:10:00,reversal_exit,-6.001603993939156,49893.73464321378,8313.4,8315.2,-10.800548676861915,reversal_signal
2015-05-04 14:48:00,sl_exit,6.000665684629814,49888.334368875345,8313.8,8303.2,-63.607056257065004,trailing_stop_long
2015-05-04 14:50:00,reversal_exit,6.009272574397562,49856.53084074681,8296.6,8298.0,8.412981604150731,reversal_signal
2015-05-04 14:55:00,sl_exit,-6.009200150836273,49860.73733154889,8297.4,8307.2,-58.820688781929555,trailing_stop_short
2015-05-04 15:01:00,sl_exit,-5.989774140822406,49831.326987157925,8319.4,8328.0,-51.458863123147154,trailing_stop_short
2015-05-04 15:09:00,long_partial_tp,1.9910611225282973,16601.86585186545,8338.2,8363.2146,49.805597555594545,take_profit
2015-05-04 15:12:00,sl_exit,3.982122245056595,33203.731703730904,8338.2,8350.0,46.989042491666666,trailing_stop_long
2015-05-05 09:20:00,reversal_exit,5.984729643420323,49853.99487561998,8330.2,8323.2,-41.89310750394278,reversal_signal
2015-05-05 09:37:00,reversal_exit,-5.975472243497051,49833.04832186801,8339.6,8329.0,63.4206161858395,reversal_signal
2015-05-05 09:50:00,sl_exit,-6.0191152805225405,49864.75862996093,8284.4,8264.8,118.25443678579258,trailing_stop_short
2015-05-05 10:22:00,sl_exit,-6.043907635209053,49923.88584835383,8260.2,8265.2,-30.201256986130836,trailing_stop_short
2015-05-05 10:56:00,reversal_exit,6.035065566260462,49908.785219860765,8269.8,8267.8,-12.070131132519183,reversal_signal
2015-05-05 11:04:00,sl_exit,-6.0404713673583785,49902.7501542945,8261.4,8248.4,78.6498899187525,trailing_stop_short
2015-05-05 11:10:00,sl_exit,-6.0571089966591325,49942.07509925388,8245.2,8252.0,-41.15440022720326,trailing_stop_short
2015-05-05 11:18:00,sl_exit,-6.067122566191911,49921.49789914028,8228.2,8206.0,135.0545032123959,trailing_stop_short
2015-05-05 13:05:00,sl_exit,-6.096817390812088,49989.02515074648,8199.2,8183.4,96.51570219980488,trailing_stop_short
2015-05-05 13:32:00,sl_exit,-6.099132496568306,50037.28300184638,8204.0,8192.6,69.62686158497347,trailing_stop_short
2015-05-05 13:34:00,sl_exit,-6.123379204695845,50072.096432638864,8177.2,8161.2,98.166145042664,trailing_stop_short
2015-05-05 13:38:00,sl_exit,-6.131331136099649,50121.179505160195,8174.6,8197.2,-138.18604606654003,trailing_stop_short
2015-05-05 14:13:00,sl_exit,6.125576610222363,50052.08648212693,8171.0,8149.4,-132.31245478080737,trailing_stop_long
2015-05-05 14:24:00,sl_exit,-6.1284304662273215,49985.93025473652,8156.4,8137.8,114.24934291062185,trailing_stop_short
2015-05-05 14:27:00,sl_exit,-6.146285301669349,50043.054926191835,8142.0,8122.8,118.2876169033903,trailing_stop_short
2015-05-05 14:37:00,sl_exit,-6.180725708055998,50102.19873464353,8106.2,8127.0,-128.2300644371364,trailing_stop_short
2015-05-06 09:17:00,sl_exit,6.0947726799543185,50038.083702424956,8210.0,8205.2,-29.25490886377546,trailing_stop_long
2015-05-06 09:20:00,sl_exit,6.083358415176099,50023.45624799307,8223.0,8208.2,-90.03370454460428,trailing_stop_long
2015-05-06 09:36:00,reversal_exit,6.070796515769109,49978.439395720765,8232.6,8228.2,-26.71150466937947,reversal_signal
2015-05-06 09:45:00,sl_exit,6.059752546072486,49965.083643386075,8245.4,8225.0,-123.61895193987422,trailing_stop_long
2015-05-06 09:52:00,reversal_exit,6.079833597394754,49903.27416741614,8208.0,8198.8,-55.93446909603775,reversal_signal
2015-05-06 10:20:00,reversal_exit,-6.071100756264986,49875.306932868116,8215.2,8216.2,-6.0703618379400535,reversal_signal
2015-05-06 10:47:00,sl_exit,6.0421942999696086,49872.27175194915,8254.0,8242.0,-72.506331599636,trailing_stop_long
2015-05-06 10:58:00,sl_exit,6.034000700570192,49836.01858614933,8259.2,8256.2,-18.102002101711644,trailing_stop_long
